,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_borda,std_borda
104,105,0.8564753004005341,0.0,0.8199265687583445,0.0,0.8606475300400535,0.0
105,106,0.8559946416610851,0.0,0.8394172806430007,0.0,0.8600133958472874,1.1102230246251565e-16
106,107,0.8566868279569892,0.0,0.8170362903225806,0.0,0.8539986559139784,1.1102230246251565e-16
107,108,0.8572151045178693,1.1102230246251565e-16,0.8172623061362104,0.0,0.8538435603506406,0.0
108,109,0.8596075778078485,0.0,0.8196887686062247,1.1102230246251565e-16,0.8565629228687415,1.1102230246251565e-16
109,110,0.8591310251188051,0.0,0.8200950441276307,0.0,0.8560760353021045,0.0
110,111,0.8593324250681199,0.0,0.8199931880108992,0.0,0.856267029972752,1.1102230246251565e-16
111,112,0.859876965140123,0.0,0.8219412166780588,0.0,0.8581681476418318,0.0
112,113,0.8578532235939644,1.1102230246251565e-16,0.8192729766803841,0.0,0.8557956104252401,0.0
113,114,0.8601169993117688,0.0,0.8196834136269787,0.0,0.858568479008947,1.1102230246251565e-16
114,115,0.8604972375690607,1.1102230246251565e-16,0.8057665745856355,1.1102230246251565e-16,0.8585980662983426,0.0
115,116,0.8634788634788635,0.0,0.8206860706860708,1.1102230246251565e-16,0.8612266112266113,0.0
116,117,0.8563977746870653,0.0,0.8204102920723226,0.0,0.8603963838664812,0.0
117,118,0.8621772505233775,1.1102230246251565e-16,0.8222260990928124,1.1102230246251565e-16,0.8595603628750872,0.0
118,119,0.8636204481792717,0.0,0.8221288515406162,0.0,0.8608193277310925,0.0
119,120,0.8652494729444836,1.1102230246251565e-16,0.8211524947294448,0.0,0.8626141953619115,1.1102230246251565e-16
120,121,0.8644217207334274,0.0,0.8228138222849083,0.0,0.8628349788434415,0.0
121,122,0.8598726114649683,1.1102230246251565e-16,0.8214791224345366,1.1102230246251565e-16,0.8591648973814578,0.0
122,123,0.864346590909091,1.1102230246251565e-16,0.8190696022727273,0.0,0.861328125,0.0
123,124,0.8633285816108339,0.0,0.8198503207412686,1.1102230246251565e-16,0.8613684960798288,1.1102230246251565e-16
124,125,0.8624821173104434,0.0,0.8211731044349071,1.1102230246251565e-16,0.8612303290414879,0.0
125,126,0.8648600143575018,0.0,0.8225053840631731,1.1102230246251565e-16,0.8628858578607324,1.1102230246251565e-16
126,127,0.8618515850144093,1.1102230246251565e-16,0.8198847262247838,0.0,0.8587896253602306,1.1102230246251565e-16
